writing	reading	meaning	level
パンツ	ぱんつ	pants, underpants (undergarment covering the genitals); pants, trousers (garment covering the body from the waist downwards)	N2
バンド	ばんど	band (clothing accessory); band (group of musicians); band (type of broadcast frequency)	N2
半島	はんとう	peninsula; short for 朝鮮半島 (Chōsen Hantō, “Korean Peninsula”)	N2
ハンドル	はんどる	handle; steering wheel	N2
日当たり	ひあたり	receiving sunlight	N2
日帰り	ひがえり	day trip; to make a day trip	N2
比較的	ひかくてき	comparatively, relatively	N2
日陰	ひかげ	shadow	N2
ぴかぴか	ぴかぴか	glitteringly, sparklingly; shiny, glossy	N2
引受る	ひきうける	to undertake,to take up,to take over	N2
引返す	ひきかえす	to repeat,to send back,to bring back	N2
引算	ひきざん	subtraction	N2
引出す	ひきだす	引き出す: take out, withdraw	N2
引き止める	ひきとめる	to detain,to check,to restrain	N2
卑怯	ひきょう	unfair, dirty; cowardly; meanness, dirtiness; cowardice	N2
引分け	ひきわけ	引き分け: a draw	N2
陽射	ひざし	sunshine	N2
肘	ひじ	elbow	N2
ピストル	ぴすとる	a pistol (handgun)	N2
ビタミン	びたみん	a vitamin	N2
ぴたり	ぴたり	tightly; exactly, just right; suddenly or completely (for something to stop)	N2
引っ掛かる	ひっかかる	to snag onto; to catch on; to fall for; to be tricked	N2
筆記	ひっき	notetaking; notes; to take notes; to write down	N2
引っ繰り返す	ひっくりかえす	alternative spelling of ひっくり返す: to turn something over	N2
引っ繰り返る	ひっくりかえる	alternative spelling of ひっくり返る: to be overturned	N2
引越し	ひっこし	moving house	N2
引っ込む	ひっこむ	retire, withdraw; sink in, subside; pull back; stand back	N2
筆者	ひっしゃ	I, the author, the writer (in self-reference)	N2
必需品	ひつじゅひん	necessaries, a necessary item, necessity, essential goods	N2
人差指	ひとさしゆび	alternative spelling of 人差し指	N2
一通り	ひととおり	the basics, a general idea; hurriedly, roughly, generally	N2
人通り	ひとどおり	coming and going of people; human traffic; flow of people	N2
ひとまず	ひとまず	for the time being, for the present	N2
瞳	ひとみ	pupil; eye; a female given name	N2
一休み	ひとやすみ	a rest	N2
独り言	ひとりごと	talking to oneself; speaking to oneself; soliloquy	N2
ひとりでに	ひとりでに	by oneself	N2
ビニール	びにーる	vinyl, PVC (substance)	N2
皮肉	ひにく	ironic; irony; sarcasm	N2
日日	ひにち	a specific date; days	N2
捻る	ひねる	twist, to turn by pinching or twisting with fingers.; turn a faucet on or off; To twist a part of the body.	N2
日の入り	ひのいり	sunset	N2
日の出	ひので	sunrise; Hinode (a town in Nishitama district, Tokyo prefecture, Japan)	N2
響き	ひびき	echo, sound, reverberation, noise; the ring/sound/feel of an expression/word	N2
響く	ひびく	to echo, to resound; to hit (one's heart), to touch (the audience)	N2
皮膚	ひふ	skin; exterior surface	N2
冷やす	ひやす	cool down	N2
ひゃっかじてん	ひゃっかじてん	百科事典: encyclopedia	N2
美容	びよう	beauty (especially of a person's face or body)	N2
表紙	ひょうし	book binding, cover	N2
標識	ひょうしき	sign, mark	N2
標準	ひょうじゅん	standard, level, the mark, norm	N2
標本	ひょうほん	sample; specimen	N2
評論	ひょうろん	criticism, comment; to criticize, to review	N2
平仮名	ひらがな	hiragana, a Japanese syllabary script	N2
ビルディング	びるでぃんぐ	a building; a non-residential high-rise building constructed of concrete	N2
昼寝	ひるね	siesta (afternoon nap); take an afternoon nap	N2
広げる	ひろげる	to spread open, to unfold; to spread, to scatter; to spread apart; to enlarge	N2
広さ	ひろさ	area; width	N2
広場	ひろば	open area, square; plaza	N2
広々	ひろびろ	extensive,spacious	N2
広める	ひろめる	to broaden; to widen; to spread; to disseminate	N2
ピンク	ぴんく	pink, the colour; pink, the flower; eroticism, something erotic; someone leaning to the left politically, especially someone with communist interests	N2
便箋	びんせん	letter paper	N2
瓶詰	びんづめ	packed into a bottle	N2
ファスナー	ふぁすなー	zipper (of jeans, or clothing, etc), (UK) zip fastener	N2
風船	ふうせん	balloon	N2
不運	ふうん	unlucky; misfortune, bad luck	N2
殖える	ふえる	to increase,to multiply	N2
深まる	ふかまる	deepen (become deeper); intensify, increase in degree	N2
不規則	ふきそく	irregularity, unsteady, disorderly	N2
普及	ふきゅう	diffusion; spread, diffuse, propagate	N2
付近	ふきん	neighborhood, environs, vicinity	N2
拭く	ふく	to wipe	N2
副詞	ふくし	adverb	N2
複写	ふくしゃ	a copy a document or diagram; a reproduction of an image; to copy; to reproduce	N2
複数	ふくすう	multipleness, manyness; the plural number	N2
含める	ふくめる	to include; to explain fully, to communicate, to inform; to persuade, to instruct	N2
膨らます	ふくらます	to swell; to inflate; to puff up; to fill with	N2
膨らむ	ふくらむ	to swell, to expand, to get bigger	N2
不潔	ふけつ	unclean, filthy; uncleanliness	N2
更ける	ふける	更ける, 深ける: to get late, to get deep (for night, season, etc.); 老ける, 化ける: to age; to become old; indulge in, be absorbed in	N2
符号	ふごう	sign, symbol, mark	N2
夫妻	ふさい	a married couple, husband and wife, Mr. and Mrs.	N2
塞がる	ふさがる	be blocked; be clogged; be taken; be healed; be closed up (the flesh of an open wound, etc.)	N2
塞ぐ	ふさぐ	to close, to shut up; to obstruct, to cover, to block; to occupy; to satisfy, to fulfill; 鬱ぐ: to feel depressed, to mope	N2
ふざける	ふざける	joke around, goof around; bullshit	N2
無沙汰	ぶさた	not contacting for a while, a long silence; not contact for a while	N2
武士	ぶし	a professional warrior, a soldier; a samurai; a place name; a surname	N2
部首	ぶしゅ	an element of a kanji character; a kanji radical.	N2
襖	ふすま	fusuma, a sliding panel	N2
附属	ふぞく	attached,belonging,affiliated	N2
蓋	ふた	lid; cap; cover; (malacology) operculum	N2
不通	ふつう	interruption, stoppage, cessation	N2
ぶつかる	ぶつかる	bump into, collide against	N2
ぶつける	ぶつける	打付ける: bump into, throw, run into someone, try someone with a difficult question, turn one's negativity on someone	N2
物騒	ぶっそう	insecure, turbulent; causing concern; alarming; dangerous; turbulence; danger	N2
ぶつぶつ	ぶつぶつ	grumbling, complaining, muttering; simmering; cutting into thin pieces; poking many holes; rash, spots, pimples, bumps on the skin	N2
船便	ふなびん	ferry service; mail delivery by boat; seamail	N2
部品	ぶひん	part, component, short for 部分品	N2
吹雪	ふぶき	a blizzard, a snowstorm; many flat objects blown away by the wind, like snowflakes in a blizzard; a Harusame-class destroyer of the Imperial Japanese Navy during the Russo-Japanese War; a class of destroyers of the Imperial Japanese Navy during World War II (see Fubuki-class destroyer on Wikipedia.Wikipedia); a Fubuki-class destroyer of the Imperial Japanese Navy during World War II (see Japanese destroyer Fubuki (1927) on Wikipedia.Wikipedia); a female given name; stem or continuative form of 吹雪く (fubuku)	N2
父母	ふぼ	parents; father and mother	N2
踏切	ふみきり	railroad crossing	N2
麓	ふもと	foot of a mountain	N2
増やす	ふやす	increase	N2
殖やす	ふやす	to increase,to add to,to augment	N2
フライパン	ふらいぱん	a frying pan	N2
ブラウス	ぶらうす	a blouse	N2
ぶらさげる	ぶらさげる	ぶら下げる: hang, sling, suspend	N2
ブラシ	ぶらし	brush (an implement consisting of bristles attached to a handle)	N2
プラスチック	ぷらすちっく	plastic (a stiff but usually slightly flexible synthetic material)	N2
プラットホーム	ぷらっとほーむ	platform	N2
フリー	ふりー	costing no money; unbound by promises or contracts; independent of any system; without something; freedom in the above senses	N2
振り仮名	ふりがな	smaller kana printed next to (vertical) or above (horizontal) non-kana text as pronunciation guide	N2
プリント	ぷりんと	printing; printed matter	N2
振舞う	ふるまう	to behave,to conduct oneself,to entertain (vt)	N2
ブローチ	ぶろーち	a brooch (jewelry with pin); a broach: a tool with multiple chisel points mounted on a single piece of steel	N2
プログラム	ぷろぐらむ	a program (leaflet listing information about a play, game or other activity); a program (performance of a show or other broadcast on radio or television); a program (software application); a day's schedule	N2
風呂敷	ふろしき	A traditional Japanese wrapping cloth, traditionally used to transport clothes, gifts, or other goods; a furoshiki.	N2
ふわふわ	ふわふわ	softly (in the sense of gently and smoothly); fluffy, airy, light (like a pillow or foam); be soft (in the sense of gently and smoothly); be fluffy, airy, light (like a pillow or foam)	N2
噴火	ふんか	eruption; erupt	N2
分解	ぶんかい	disassembly, breaking down; resolution; factorization; to disassemble, to break down; to resolve (light, a chemical, etc.); to factor	N2
文芸	ぶんげい	art and culture	N2
文献	ぶんけん	literature; research materials, documents	N2
噴水	ふんすい	fountain	N2
分数	ぶんすう	fraction	N2
文体	ぶんたい	writing style	N2
分布	ぶんぷ	distribution; be distributed over a wide area; distribute mathematically	N2
文房具	ぶんぼうぐ	stationery, office supplies	N2
文脈	ぶんみゃく	linguistic context	N2
分量	ぶんりょう	amount, quantity; divisive quantity	N2
分類	ぶんるい	classification, categorization; to categorize, to classify	N2
閉会	へいかい	closure of a 会 (kai) — meeting (会議), legislature (議会), sporting event (競技会), etc.; to close a 会 (kai); for a 会 (kai) to end	N2
平気	へいき	insensitive; cavalier; calm; composed; unconcerned; fine; alright; calmness; insensitivity; lack of concern	N2
並行	へいこう	going side by side; being concurrent; being parallel; side by side; concurrent; parallel; go side by side; be concurrent	N2
平日	へいじつ	a habit, an ordinary; a weekday, an ordinary day	N2
兵隊	へいたい	soldier	N2
平凡	へいぼん	mediocre, ordinary; mediocrity	N2
平野	へいや	plain (an expanse of land with relatively low relief)	N2
凹む	へこむ	to become hollow, cave in, sink in: see the kubomu reading above; to decline below a certain point, to become less; to be stuck to be at a loss: see 困る (komaru).; to yield, to submit; to be depressed; to be bummed out	N2
臍	へそ	navel	N2
隔てる	へだてる	to be separated by; to separate from, to part from, away from; to estrange, to alienate	N2
別荘	べっそう	villa (a house used as a retreat)	N2
別々	べつべつ	separately,individually	N2
ベテラン	べてらん	old hand, veteran (person with long experience)	N2
ヘリコプター	へりこぷたー	a helicopter	N2
編集	へんしゅう	the compilation and editing of various materials to create a book, magazine, etc.; to edit	N2
便所	べんじょ	bathroom, restroom, lavatory, toilet; a pachinko machine one can use leftover balls on.	N2
ペンチ	ぺんち	pliers	N2
望遠鏡	ぼうえんきょう	a telescope	N2
方角	ほうがく	compass point	N2
箒	ほうき	broom	N2
方言	ほうげん	a dialect; a provincialism	N2
坊さん	ぼうさん	a Buddhist monk, a bonze	N2
防止	ぼうし	prevention; to prevent	N2
方針	ほうしん	synonym of 磁針 (jishin, “magnetic needle”); policy, course, plan	N2
包装	ほうそう	packaging, package; pack, package	N2
法則	ほうそく	A statement that is true under specified conditions; law.	N2
包帯	ほうたい	bandage	N2
膨大	ぼうだい	swollen and large; 厖大: huge, gigantic, enormous, massive	N2
庖丁	ほうちょう	kitchen knife,carving knife	N2
方程式	ほうていしき	an equation	N2
防犯	ぼうはん	prevention of crime	N2
方面	ほうめん	direction; area, district; field of study, line of work	N2
坊や	ぼうや	A boy	N2
放る	ほうる	to throw something far; to throw something away; to quit partway through something; to give up	N2
ボーナス	ぼーなす	bonus (extra amount of money given as a premium); bonus (stage, item, etc.)	N2
朗らか	ほがらか	cheerful, merry; clear, bright (sky)	N2
牧場	ぼくじょう	livestock farm, ranch; dairy farm	N2
牧畜	ぼくちく	pastoralism	N2
保健	ほけん	health care; sanitation; hygiene	N2
募集	ぼしゅう	hiring, recruitment of new employees or soldiers; collection of donations; accept applications, be hiring or recruiting soldiers; raise money	N2
干す	ほす	to dry, to desiccate; to disfavor, to maltreat	N2
ポスター	ぽすたー	poster (large printed notice)	N2
北極	ほっきょく	short for 北極圏 north polar region, north pole; North Pole, the Arctic	N2
坊っちゃん	ぼっちゃん	someone else's son; young master	N2
ほどく	ほどく	to unfasten	N2
堀	ほり	ditch, canal; moat; a surname	N2
掘る	ほる	to dig; to excavate; to have anal intercourse	N2
彫る	ほる	to carve; to ink (a tattoo)	N2
ぼろ	ぼろ	rag; old, worn-out clothes; a hidden fault or failure	N2
盆	ぼん	a tray (for carrying e.g. dishes); a flat earthenware pot, bowl, or basin; short for 盆茣蓙(ぼんござ) (bon goza), a woven rush mat for rolling or throwing dice in gambling; a gambling den, a place where gambling happens; a gamble, a match, a contest; a household, a residence, a home (by extension from the sense of having one's own serving tray); a place for a tryst; the circular area of a 回り舞台 (mawari butai, “revolving stage”) (from its resemblance to a round serving tray); an offering or votive at Obon; the Obon or Bon Festival, an event with Buddhist roots, celebrated on July 15	N2
盆地	ぼんち	basin	N2
本部	ほんぶ	headquarters	N2
本来	ほんらい	origin; originally; properly, legally	N2
まあまあ	まあまあ	so-so, passable, tolerable; now, now (a reassurance)	N2
枚数	まいすう	the number of flat things	N2
毎度	まいど	always, constantly; ellipsis of 毎度ありがとうございます	N2
マイナス	まいなす	minus	N2
巻く	まく	roll, coil, wind up; wrap around; tighten, wind	N2
蒔く	まく	sow, plant; disseminate (to sow and scatter principles, etc. for propagation, like seed); sprinkle gold or silver on lacquerware	N2
撒く	まく	to sprinkle; to scatter around; to distribute; to spread; to shake off (to lose someone who is tracking you)	N2
枕	まくら	pillow	N2
曲げる	まげる	bend	N2
まごまご	まごまご	confused; perplexed; at a loss	N2
摩擦	まさつ	friction; friction; conflict; disagreement	N2
混ざる	まざる	to be mixed with; to blend with	N2
交ざる	まざる	to be mixed,to be blended with,to associate with,to mingle with,to join	N2
混じる	まじる	mix with, blend with, join; associate with, intermingle with	N2
交じる	まじる	to be mixed,to be blended with,to associate with	N2
マスク	ますく	a mask (cover for the face), especially a gauze mask; looks, features	N2
混ぜる	まぜる	to mix, to blend; to let someone join in an activity; to exchange words, to talk with someone; to interrupt and derail someone else's story, to get someone else off the track in a story or conversation	N2
交ぜる	まぜる	to be mixed,to be blended with	N2
またぐ	またぐ	to straddle	N2
又は	または	or	N2
待合室	まちあいしつ	waiting room, waiting area	N2
待ち合わせる	まちあわせる	to arrange to meet; to rendezvous	N2
街角	まちかど	a street corner; a city street	N2
真っ暗	まっくら	total darkness; totally dark; pitch dark	N2
真っ黒	まっくろ	deep black; pitch-black; blackened due to suntan or dirt; deep black; pitch black	N2
真っ青	まっさお	deep blue, purely or entirely blue; pallid or pale of complexion, as from fright or pain; a deep blue, a pure blue; pallor or paleness of complexion, as from fright or pain	N2
真っ先	まっさき	the very first; the foremost	N2
真っ白	まっしろ	pure white, snow-white, perfectly white; pure whiteness	N2
祭る	まつる	to worship, to enshrine, to deify; to offer prayers, to pray	N2
窓口	まどぐち	window, counter (an area to receive customers such as at a bank or post office)	N2
纏まる	まとまる	be collected, be all together; be settled, be arranged	N2
纏める	まとめる	collect, bring together; organize, coordinate; finalize, settle; combine, merge; summarize; control, rule	N2
真似る	まねる	to imitate	N2
まぶしい	まぶしい	dazzling,radiant	N2
まぶた	まぶた	eyelids	N2
マフラー	まふらー	a scarf, a muffler (a neckwarmer); a muffler (a device attached to a vehicle's exhaust to reduce the sound)	N2
間も無く	まもなく	soon	N2
マラソン	まらそん	a marathon (road race)	N2
稀	まれ	rare	N2
回り道	まわりみち	detour, taking the long way	N2
満員	まんいん	full house; filled to capacity (of a train, hotel, theater, etc.)	N2
マンション	まんしょん	a condominium; an apartment building; a large apartment; a large flat	N2
満点	まんてん	a perfect score; full marks	N2
見送る	みおくる	to see off (accompany, escort when departing, especially to a train station or airport); to watch someone/something go by, leave, depart or die; to shelf, defer a bill (so that it does not become law)	N2
見下ろす	みおろす	to overlook, to have a view of; to look down on	N2
見掛け	みかけ	outward appearance	N2
三日月	みかづき	a crescent moon on the third day of a lunar month, especially on the eighth lunar month; short for 三日月形 (mikazuki-gata): a crescent moon in general; synonym of 小爪 (kozume): a claw in the shape of a crescent moon; a type of mask used in Noh; a placename; a surname; a male given name	N2
岬	みさき	cape, promontory, point	N2
みじめ	みじめ	(arch) sad,pitiful,wretched	N2
ミシン	みしん	sewing machine	N2
店屋	みせや	store,shop	N2
見出し	みだし	headline (of news); index (of a text); headword (in a dictionary); stem or continuative form of 見出す (midasu)	N2
道順	みちじゅん	route, itinerary	N2
見付かる	みつかる	be discovered	N2
見付ける	みつける	to discover, find; to get used to seeing	N2
みっともない	みっともない	disgraceful, shameful, indecent; shabby, unsightly	N2
見直す	みなおす	look again, reexamine, reconsider; think better of someone or something, have a higher opinion of; look up or show signs of recovery from disease, pick up show improved prospects	N2
見慣れる	みなれる	to grow accustomed to a sight; to become used to seeing something	N2
醜い	みにくい	ugly; ignoble, mean, shabby, vile, vulgar; difficult to distinguish, hard to make out	N2
実る	みのる	to bear fruit; to ripen; to prove fruitful	N2
身分	みぶん	social position or status	N2
見本	みほん	sample, example	N2
見舞う	みまう	to visit to ask after someone's health; to encounter a misfortune, to be struck by some misfortune	N2
未満	みまん	being under, below; not fulfilling the requirements to be something	N2
名字	みょうじ	surname, family name	N2
ミリ	みり	milli-; clipping of ミリメートル (mirimētoru, “millimeter”)	N2
診る	みる	examine	N2
民間	みんかん	private, non-governmental	N2
民謡	みんよう	folk song (of the ordinary people)	N2
向う	むかう	(v5u) to face,to go towards	N2
剥く	むく	peel	N2
無限	むげん	unlimited, infinite, endless; infinity, unlimitedness, endlessness; infinity	N2
無地	むじ	plain, unfigured, patternless	N2
蒸し暑い	むしあつい	sultry, hot and humid, muggy	N2
矛盾	むじゅん	a contradiction, an inconsistency, a paradox; to be inconsistent, to be in contradiction, to be incompatible with	N2
蒸す	むす	to steam; to heat by steaming; to cook by steaming; to be sultry; to be hot and humid; to be muggy	N2
無数	むすう	innumerable, countless; a numberless quantity; an infinite quantity	N2
紫	むらさき	the purple or red-root gromwell, Lithospermum erythrorhizon; the root of the murasaki used as a natural dye; short for 紫色 (murasaki-iro): the color purple; synonym of 醤油 (shōyu): soy sauce; a woman; synonym of 鰯 (iwashi): a sardine, especially the Japanese pilchard, Sardinops sagax; synonym of 検校 (kengyō): the highest ranked blind court official; Edo, the de facto capital of the Tokugawa shogunate; short for 紫式部 (Murasaki Shikibu): Heian-period novelist and lady-in-waiting; synonym of 源氏物語 (Genji Monogatari): The Tale of Genji; a female given name; a surname	N2
群れ	むれ	群れ: group of animals such as a pack, flock, herd, bevy, school, etc.; 群れ, 蒸れ: imperfective and stem (or continuative) forms of むれる (mureru)	N2
姪	めい	the daughter of one's sibling: a niece	N2
名作	めいさく	masterpiece	N2
名刺	めいし	business card; calling card.	N2
名詞	めいし	noun	N2
名所	めいしょ	famous place	N2
命ずる	めいずる	command; appoint; name, give a name	N2
迷信	めいしん	superstition	N2
名物	めいぶつ	famous product, specialty	N2
銘々	めいめい	each	N2
目上	めうえ	one's superior or superiors, one's betters, one's elder or elders	N2
メーター	めーたー	a meter (measuring instrument); metre (unit of length)	N2
恵まれる	めぐまれる	to be endowed with; to abound in; favoured with good luck or condition; to be blessed with	N2
巡る	めぐる	go around, travel around; circle, surround; return, repeat; concern (usually in the form of を + めぐる or めぐって)	N2
目指す	めざす	to aim for, be after; to head towards, go towards	N2
目覚し	めざまし	目覚まし: waking, waking up (either waking oneself, or waking someone else); a kind of sweet given to children waking up; short for 目覚まし時計 (mezamashi-dokei): alarm clock	N2
目下	めした	below one's eyes; one's inferior; one's junior	N2
目印	めじるし	mark; sign; visual indicator	N2
目立つ	めだつ	stand out	N2
めちゃくちゃ	めちゃくちゃ	absurd, unreasonable, illogical; incoherent, disorderly, messy; reckless, excessive; ruined, destroyed; very, really	N2
めっきり	めっきり	noticeably, remarkably	N2
めでたい	めでたい	happy,simple soul,propitious,joyous	N2
メニュー	めにゅー	menu; collectively, the dishes listed on a menu	N2
めまい	めまい	dizziness	N2
目安	めやす	reference, criterion, standard; rough indication, rough idea	N2
免税	めんぜい	tax exemption; exempt from taxes	N2
面積	めんせき	area	N2
面接	めんせつ	interview; to interview	N2
面倒臭い	めんどうくさい	inconvenient; bothersome; too much trouble, a pain	N2
儲かる	もうかる	to be profitable; to be lucrative; to yield a profit	N2
儲ける	もうける	profit; have a child	N2
申し訳ない	もうしわけない	inexcusable	N2
モーター	もーたー	motor (engine)	N2
木材	もくざい	timber – trees in a forest regarded as a source of wood.; material wood, (UK) timber, (US) lumber – wood that has been pre-cut and is ready for use in construction.	N2
目次	もくじ	contents, table of contents	N2
潜る	もぐる	dive into water; slip into; hide oneself	N2
もしかしたら	もしかしたら	perhaps, maybe, possibly	N2
もしかすると	もしかすると	if that is the case, then ...	N2
もたれる	もたれる	to lean on, to lean against; to be indigestive (see also 胃もたれ)	N2
モダン	もだん	modern	N2
餅	もち	mochi (Japanese rice cake made from glutinous rice, usually mixed with other ingredients); a surname	N2
もったいない	もったいない	too good,more than one deserves,wasteful,sacrilegious,unworthy of	N2
モデル	もでる	model	N2
元々	もともと	originally, from the start; original state from the start	N2
物置	ものおき	storeroom; space used for storage	N2
物語る	ものがたる	narrate (to relate a story)	N2
物差し	ものさし	ruler (a straightedge with measurements inscribed on it); norm, standard	N2
物凄い	ものすごい	uncanny; ominous; frightful; horrible; to a great extent; greatly; tremendous	N2
モノレール	ものれーる	monorail	N2
紅葉	もみじ	the turning (coloring) of leaves, especially in autumn; the colored leaves themselves; 栬, 椛, 栴: short for 以呂波紅葉 (iroha momiji): the Japanese maple, Acer palmatum; short for 紅葉襲 (momiji-gasane): a style of layering garments with crimson on the front and blue (or dark red) on the back; venison, deer meat; a 家紋 (kamon, “family crest”) with various designs of autumn leaves or the Japanese maple; The suit of maple (or autumn leaves) in a hanafuda deck, representing the month of October and the number ten; to turn (change color), especially during autumn; a surname; a female given name	N2
揉む	もむ	to knead, to rub, to crumple	N2
燃やす	もやす	to burn (something)	N2
催し	もよおし	event, function, meeting	N2
盛る	もる	to pile up; to collect into a big heap; to exaggerate; to fill something with something, to put something into a container; to administer drugs to, especially to poison	N2
問答	もんどう	questions and answers; dialogue; hold a dialogue	N2
やかましい	やかましい	(1) noisy,(2) strict,fussy	N2
夜間	やかん	nighttime, at night	N2
薬缶	やかん	a kettle (vessel for boiling a liquid or cooking food); clipping of 薬缶頭 (“bald head”)	N2
役者	やくしゃ	actor/actress; performer	N2
役所	やくしょ	local government office	N2
訳す	やくす	to translate	N2
役人	やくにん	official, civil servant, public servant, officer	N2
薬品	やくひん	drugs, medicines, chemical substances	N2
役目	やくめ	role, duty, function	N2
火傷	やけど	a burn (caused by heat); a scald; to burn, to scald	N2
夜行	やこう	travelling by night; clipping of 夜行列車 (yakō ressha); to travel by night	N2
矢印	やじるし	arrow sign	N2
やたら	やたら	randomly,recklessly,blindly	N2
薬局	やっきょく	drugstore (no prescription required: over-the-counter medicines only); pharmacy (prescription required)	N2
やっつける	やっつける	to criticise; to beat up; to attack; to let someone have it; to defeat; to kill	N2
家主	やぬし	owner of a house; landlord or landlady	N2
破く	やぶく	to tear	N2
破れる	やぶれる	to be torn, to be worn out; to be broken; to break down, to be broken off; 敗れる: to lose, to be defeated; to be wounded, to be frustrated	N2
やむをえない	やむをえない	cannot be helped,unavoidable	N2
軟らかい	やわらかい	soft,tender,limp	N2
遊園地	ゆうえんち	an amusement park	N2
夕刊	ゆうかん	evening paper (newspaper that arrives in the evening)	N2
友好	ゆうこう	friendship, amity	N2
郵送	ゆうそう	mailing; to mail	N2
夕立	ゆうだち	evening shower	N2
夕日	ゆうひ	setting sun	N2
悠々	ゆうゆう	quiet,calm,leisurely	N2
有料	ゆうりょう	charging fees; not free	N2
浴衣	ゆかた	a thin light garment worn for sleeping, for wearing in the summer, or for bathing; yukata; a kind of light kimono used for general wear	N2
湯気	ゆげ	steam	N2
輸血	ゆけつ	blood transfusion; to transfuse blood	N2
輸送	ゆそう	transportation; to transport	N2
油断	ゆだん	being unprepared; to be caught off-guard; to be unprepared	N2
ゆでる	ゆでる	to boil	N2
湯飲み	ゆのみ	alternative form of 湯呑み	N2
緩い	ゆるい	loose, loose-fitting, full (of a garment, shoes, accessories, etc.); easy, slow; lenient, not strict	N2
溶岩	ようがん	lava (melted rock)	N2
容器	ようき	container	N2
用語	ようご	terminology; jargon	N2
要旨	ようし	essentials, gist	N2
幼児	ようじ	baby, infant; toddler; child, person(s) from one-year-old to entrance into elementary school under the Japanese Child Welfare Law (児童福祉法)	N2
容積	ようせき	capacity; volume	N2
幼稚	ようち	very young; childish, infantile, immature; infancy; immaturity, childishness	N2
幼稚園	ようちえん	a kindergarten	N2
用途	ようと	usage, use	N2
洋品店	ようひんてん	shop that sells Western-style goods, especially Western-style clothes and accessories	N2
養分	ようぶん	nourishment; nutrient	N2
羊毛	ようもう	wool, fleece	N2
漸く	ようやく	at last; at length; finally; gradually; scarcely; hardly; barely	N2
要領	ようりょう	essentials, gist, point; the ropes, knack	N2
欲張り	よくばり	very greedy, covetous, avaricious; intense greed, covetousness, avarice; an extremely greedy person	N2
余計	よけい	excessive, unnecessary, unneeded, superfluous; excessiveness, needlessness; excessively, needlessly, even more	N2
よこす	よこす	to send; to hand over	N2
汚す	よごす	pollute, contaminate, make dirty, stain	N2
寄せる	よせる	to approach, to draw near to; 襲せる: to close with (in battle), to make an onslaught on; to surge; to set aside; to gather; to pine for, to adore	N2
余所	よそ	another place; a place outside one's family or group; an unrelated person, place, or thing	N2
四つ角	よつかど	four corners; crossroads	N2
酔っ払い	よっぱらい	drunkard; drunk person	N2
予備	よび	reserve (that which is reserved, or kept back, as for future use), spare, preliminaries	N2
呼び掛ける	よびかける	call out to; appeal, urge; alert	N2
呼び出す	よびだす	summon, ask for; call on the telephone; call (a method etc.), invoke	N2
蘇る	よみがえる	to be reborn, reanimated, resurrected, or resuscitated; to become more active after declining	N2
慶び	よろこび	(n) (a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations	N2
慶ぶ	よろこぶ		N2
来日	らいにち	arrival of a foreigner in Japan; to arrive in Japan (for a non-Japanese person)	N2
落第	らくだい	failure (in an examination); failure (to advance to the next grade or graduate from school); to fail an examination or test; to fail to advance to the next grade or graduate from school	N2
ラッシュアワー	らっしゅあわー	rush hour	N2
欄	らん	column in a newspaper; field in a form etc.	N2
ランチ	らんち	lunch; ranch	N2
ランニング	らんにんぐ	running (as a physical activity); short for ランニングシャツ	N2
乱暴	らんぼう	rude, violent, rough, disorderly, lawless, unreasonable, reckless; violence, outrage, roughness; rape; be rude, roughhouse, act violently or recklessly	N2
理科	りか	science; as a subject in elementary or middle schools; science-oriented faculties including engineering, medicine and pharmacy (see also 文科)	N2
利害	りがい	profits and losses; interests	N2
リズム	りずむ	rhythm	N2
リットル	りっとる	liter/litre (unit of fluid measure)	N2
リボン	りぼん	ribbon	N2
略す	りゃくす	abbreviate	N2
流域	りゅういき	river basin; watershed	N2
寮	りょう	dormitory, student accommodation, barracks	N2
両側	りょうがわ	both sides	N2
漁師	りょうし	a fisherman, someone who fishes as a livelihood	N2
領事	りょうじ	consul	N2
領収	りょうしゅう	receipt, usually of money; receive money etc.	N2
臨時	りんじ	being temporary, special	N2
留守番	るすばん	taking care of something while the owner is absent; a caretaker; to take care of something while the owner is away	N2
例外	れいがい	exception	N2
零点	れいてん	zero on a test etc., no points earned; freezing point; zero (value of a function’s independent variables when the value of the function is zero)	N2
冷凍	れいとう	freezing; refrigeration; to freeze; to refrigerate	N2
レインコート	れいんこーと	a raincoat	N2
レクリェーション	れくりぇーしょん	recreation	N2
レジャー	れじゃー	leisure; entertainment (at leisure time)	N2
列島	れっとう	archipelago, chain of islands; Japanese archipelago	N2
レベル	れべる	a level; a rebel; a revel	N2
煉瓦	れんが	brick	N2
連合	れんごう	union, alliance, combination; federate, unite, combine	N2
レンズ	れんず	lens (object focusing or defocusing the light passing through it)	N2
蝋燭	ろうそく	a candle (a light source)	N2
ローマじ	ろーまじ	ローマ字: romaji	N2
録音	ろくおん	audio recording; to make an audio recording; to record	N2
ロッカー	ろっかー	a locker (storage compartment); a rocker (musician who plays rock music)	N2
ロビー	ろびー	lobby	N2
論ずる	ろんずる	to argue, to debate	N2
和英	わえい	Japanese–English, Japanese-to-English.	N2
